ID Ano Mes Dia Hora Min Prec
Cucuta 2009 1 5 1 20 0.1
Cucuta 2009 1 5 2 30 0.1
Cucuta 2009 1 5 2 50 0.1
Cucuta 2009 1 5 3 0 0.1
Cucuta 2009 1 5 3 20 0.2
Cucuta 2009 1 5 3 30 0.2
Cucuta 2009 1 5 3 50 1.1
Cucuta 2009 1 5 4 0 0.2
Cucuta 2009 1 5 4 20 0.1
Cucuta 2009 1 5 4 30 0.9
Cucuta 2009 1 5 4 40 1.3
Cucuta 2009 1 5 4 50 1.3
Cucuta 2009 1 5 5 0 0.1
Cucuta 2009 1 5 5 10 0.1
Cucuta 2009 1 5 5 20 0.3
Cucuta 2009 1 5 5 40 0.1
Cucuta 2009 1 5 7 40 0.1
Cucuta 2009 1 5 8 0 0.3
Cucuta 2009 1 5 8 10 0.3
Cucuta 2009 1 5 10 20 0.1
Cucuta 2009 1 9 23 20 0.1
Cucuta 2009 1 10 0 30 0.1
Cucuta 2009 1 10 0 40 0.2
Cucuta 2009 1 10 0 50 0.1
Cucuta 2009 1 10 1 10 0.1
Cucuta 2009 1 10 1 20 0.4
Cucuta 2009 1 10 1 30 0.4
Cucuta 2009 1 10 1 40 0.4
Cucuta 2009 1 10 1 50 0.2
Cucuta 2009 1 10 2 0 0.2
Cucuta 2009 1 10 4 20 0.1
Cucuta 2009 1 23 1 20 0.1
Cucuta 2009 1 23 1 40 0.1
Cucuta 2009 1 23 2 20 0.1
Cucuta 2009 1 23 2 50 0.1
Cucuta 2009 1 23 3 50 0.1
Cucuta 2009 1 23 4 40 0.1
Cucuta 2009 1 23 5 20 0.1
Cucuta 2009 1 23 5 40 0.2
Cucuta 2009 1 23 5 50 0.1
Cucuta 2009 1 23 6 0 0.4
Cucuta 2009 1 23 6 10 0.3
Cucuta 2009 1 23 6 20 0.3
Cucuta 2009 1 23 6 30 0.3
Cucuta 2009 1 23 6 40 0.2
Cucuta 2009 1 23 6 50 0.2
Cucuta 2009 1 23 7 0 0.2
Cucuta 2009 1 23 7 10 0.1
Cucuta 2009 1 23 7 20 0.2
Cucuta 2009 1 23 7 30 0.1
Cucuta 2009 1 23 7 50 0.1
Cucuta 2009 1 23 8 10 0.1
Cucuta 2009 1 23 8 50 0.1
Cucuta 2009 1 23 9 30 0.1
Cucuta 2009 1 23 10 30 0.1
Cucuta 2009 1 23 11 10 0.1
Cucuta 2009 1 23 11 40 0.1
Cucuta 2009 1 23 11 50 0.1
Cucuta 2009 1 23 12 0 0.1
Cucuta 2009 1 23 12 20 0.1
Cucuta 2009 1 23 12 30 0.1
Cucuta 2009 1 23 12 50 0.1
Cucuta 2009 1 23 13 0 0.1
Cucuta 2009 1 23 13 30 0.1
Cucuta 2009 1 23 14 0 0.1
Cucuta 2009 1 23 14 50 0.1
Cucuta 2009 1 23 15 30 0.1
Cucuta 2009 1 23 16 10 0.1
Cucuta 2009 1 23 16 50 0.1
Cucuta 2009 1 23 17 40 0.1
Cucuta 2009 1 23 18 20 0.1
Cucuta 2009 1 23 19 20 0.1
Cucuta 2009 1 23 20 10 0.1
Cucuta 2009 1 23 21 20 0.1
Cucuta 2009 1 23 22 20 0.1
Cucuta 2009 1 23 23 20 0.1
Cucuta 2009 1 24 0 20 0.1
Cucuta 2009 1 24 1 30 0.1
Cucuta 2009 1 24 2 50 0.1
Cucuta 2009 1 24 4 0 0.1
Cucuta 2009 1 24 5 10 0.1
Cucuta 2009 1 24 6 30 0.1
Cucuta 2009 1 24 7 40 0.1
Cucuta 2009 1 24 8 40 0.1
Cucuta 2009 1 24 9 30 0.1
Cucuta 2009 1 24 10 20 0.1
Cucuta 2009 1 24 11 0 0.1
Cucuta 2009 1 24 11 20 0.1
Cucuta 2009 1 24 11 50 0.1
Cucuta 2009 1 24 12 30 0.1
Cucuta 2009 1 24 13 0 0.1
Cucuta 2009 1 24 13 30 0.1
Cucuta 2009 1 24 13 50 0.1
Cucuta 2009 1 24 14 30 0.1
Cucuta 2009 1 24 15 0 0.1
Cucuta 2009 1 24 15 40 0.1
Cucuta 2009 1 24 16 10 0.1
Cucuta 2009 1 24 16 40 0.1
Cucuta 2009 1 24 17 10 0.1
Cucuta 2009 1 24 17 50 0.1
Cucuta 2009 1 24 18 30 0.1
Cucuta 2009 1 24 19 20 0.1
Cucuta 2009 1 24 20 20 0.1
Cucuta 2009 1 24 21 20 0.1
Cucuta 2009 1 24 22 20 0.1
Cucuta 2009 1 24 23 40 0.1
Cucuta 2009 1 25 0 50 0.1
Cucuta 2009 1 25 2 20 0.1
Cucuta 2009 1 25 3 40 0.1
Cucuta 2009 1 25 4 40 0.1
Cucuta 2009 1 25 6 10 0.1
Cucuta 2009 1 25 7 30 0.1
Cucuta 2009 1 25 8 40 0.1
Cucuta 2009 1 25 9 20 0.1
Cucuta 2009 1 25 9 50 0.1
Cucuta 2009 1 25 10 30 0.1
Cucuta 2009 1 25 11 10 0.1
