ID Ano Mes Dia Hora Min Prec
GranCanaria 2013 9 9 1 40 0.1
GranCanaria 2013 9 12 9 40 0.1
GranCanaria 2013 9 12 9 50 0.1
GranCanaria 2013 9 12 10 0 0.4
GranCanaria 2013 9 12 10 10 0.2
GranCanaria 2013 9 12 10 20 0.1
GranCanaria 2013 9 12 10 30 0.2
GranCanaria 2013 9 12 10 40 0.1
GranCanaria 2013 9 12 10 50 0.1
GranCanaria 2013 9 13 6 20 0.1
GranCanaria 2013 9 13 6 30 0.1
GranCanaria 2013 9 13 7 0 0.1
GranCanaria 2013 9 13 9 0 0.1
GranCanaria 2013 9 19 2 20 0.2
GranCanaria 2013 10 2 22 0 0.2
GranCanaria 2013 10 3 1 30 0.1
GranCanaria 2013 10 3 1 40 0.2
GranCanaria 2013 10 3 1 50 0.2
GranCanaria 2013 10 3 2 0 0.1
GranCanaria 2013 10 3 2 10 0.1
GranCanaria 2013 10 3 2 20 0.1
GranCanaria 2013 10 3 2 30 0.1
GranCanaria 2013 10 3 2 40 0.1
GranCanaria 2013 10 3 2 50 0.1
GranCanaria 2013 10 3 3 0 0.1
GranCanaria 2013 10 25 14 40 0.1
GranCanaria 2013 10 27 21 40 0.5
GranCanaria 2013 10 27 21 50 0.2
GranCanaria 2013 10 28 17 40 0.2
GranCanaria 2013 10 29 17 40 0.2
GranCanaria 2013 10 31 7 0 0.1
GranCanaria 2013 11 3 4 40 0.1
GranCanaria 2013 11 3 5 0 0.1
GranCanaria 2013 11 3 19 40 1.3
GranCanaria 2013 11 3 19 50 0.1
GranCanaria 2013 11 3 20 20 0.1
GranCanaria 2013 11 8 4 50 0.1
GranCanaria 2013 11 8 21 40 0.1
GranCanaria 2013 11 9 4 0 0.1
GranCanaria 2013 11 9 4 20 0.2
GranCanaria 2013 11 9 4 30 0.3
GranCanaria 2013 11 9 4 40 0.1
GranCanaria 2013 11 9 10 20 0.1
GranCanaria 2013 11 14 8 40 0.7
GranCanaria 2013 11 14 8 50 0.2
GranCanaria 2013 11 17 1 10 0.2
GranCanaria 2013 11 17 7 10 0.1
GranCanaria 2013 11 17 7 30 0.1
GranCanaria 2013 11 19 7 0 0.2
GranCanaria 2013 11 19 9 40 0.1
GranCanaria 2013 11 19 10 0 0.1
GranCanaria 2013 11 19 18 50 0.1
GranCanaria 2013 11 19 20 10 0.9
GranCanaria 2013 11 19 22 20 0.3
GranCanaria 2013 11 19 22 30 0.1
GranCanaria 2013 11 20 3 0 0.1
GranCanaria 2013 11 22 17 30 0.1
GranCanaria 2013 11 22 22 20 0.1
GranCanaria 2013 11 23 2 20 0.1
GranCanaria 2013 11 23 2 40 0.1
GranCanaria 2013 11 23 4 0 0.1
GranCanaria 2013 11 23 4 10 0.1
GranCanaria 2013 11 23 4 20 0.2
GranCanaria 2013 11 23 4 30 0.1
GranCanaria 2013 11 23 4 50 0.1
GranCanaria 2013 11 23 5 10 0.1
GranCanaria 2013 11 23 6 10 0.1
GranCanaria 2013 11 23 6 20 0.2
GranCanaria 2013 11 23 6 30 0.1
GranCanaria 2013 11 23 6 40 0.2
GranCanaria 2013 11 23 6 50 0.3
GranCanaria 2013 11 23 7 0 0.1
GranCanaria 2013 11 23 7 10 0.1
GranCanaria 2013 11 23 7 20 0.1
GranCanaria 2013 11 23 8 10 0.1
GranCanaria 2013 11 23 11 40 0.3
GranCanaria 2013 11 23 11 50 0.4
GranCanaria 2013 11 23 12 30 0.1
GranCanaria 2013 11 24 13 20 0.1
GranCanaria 2013 11 24 13 30 1.1
GranCanaria 2013 11 24 13 40 1.2
GranCanaria 2013 11 24 13 50 0.6
GranCanaria 2013 11 24 14 20 0.2
GranCanaria 2013 11 25 6 0 0.9
GranCanaria 2013 11 25 6 10 0.7
GranCanaria 2013 11 25 6 50 0.1
GranCanaria 2013 11 25 7 0 3.4
GranCanaria 2013 11 25 7 10 0.8
GranCanaria 2013 11 25 8 10 0.1
GranCanaria 2013 11 29 21 30 0.1
GranCanaria 2013 12 2 6 0 0.1
GranCanaria 2013 12 2 6 30 0.1
GranCanaria 2013 12 2 7 0 0.1
GranCanaria 2013 12 2 7 50 0.1
GranCanaria 2013 12 2 8 10 0.1
GranCanaria 2013 12 2 19 0 0.3
GranCanaria 2013 12 2 19 10 1.1
GranCanaria 2013 12 2 19 20 0.9
GranCanaria 2013 12 2 19 30 0.7
GranCanaria 2013 12 2 19 40 0.5
GranCanaria 2013 12 2 19 50 0.6
GranCanaria 2013 12 2 20 0 0.1
GranCanaria 2013 12 2 20 30 0.1
GranCanaria 2013 12 6 14 40 0.1
GranCanaria 2013 12 11 14 50 0.4
GranCanaria 2013 12 11 15 0 0.2
GranCanaria 2013 12 11 15 10 0.1
GranCanaria 2013 12 11 15 20 0.1
GranCanaria 2013 12 11 15 40 0.2
GranCanaria 2013 12 11 16 0 0.1
GranCanaria 2013 12 11 16 10 0.2
GranCanaria 2013 12 11 16 20 0.1
GranCanaria 2013 12 11 16 30 0.6
GranCanaria 2013 12 11 16 40 0.5
GranCanaria 2013 12 11 16 50 0.1
GranCanaria 2013 12 11 17 40 0.1
GranCanaria 2013 12 11 22 40 0.1
GranCanaria 2013 12 11 22 50 0.1
GranCanaria 2013 12 12 1 40 0.1
GranCanaria 2013 12 12 1 50 0.1
GranCanaria 2013 12 12 2 40 0.1
GranCanaria 2013 12 12 2 50 0.1
GranCanaria 2013 12 12 3 0 0.1
GranCanaria 2013 12 12 3 30 0.3
GranCanaria 2013 12 12 3 40 0.1
GranCanaria 2013 12 12 5 30 0.1
GranCanaria 2013 12 12 6 0 0.1
GranCanaria 2013 12 12 6 20 0.1
GranCanaria 2013 12 12 9 30 0.1
GranCanaria 2013 12 12 11 10 0.1
GranCanaria 2013 12 20 8 10 0.1
GranCanaria 2013 12 20 8 20 0.1
GranCanaria 2013 12 20 8 30 0.5
GranCanaria 2013 12 26 13 30 0.1
GranCanaria 2013 12 26 13 40 0.1
GranCanaria 2013 12 26 18 30 0.1
GranCanaria 2013 12 28 15 40 0.2
GranCanaria 2013 12 28 15 50 0.2
GranCanaria 2013 12 28 18 10 0.1
GranCanaria 2013 12 28 18 30 0.1
GranCanaria 2014 1 9 6 30 0.1
GranCanaria 2014 1 9 6 40 8.3
GranCanaria 2014 1 9 6 50 0.8
GranCanaria 2014 1 9 7 10 0.1
GranCanaria 2014 1 9 9 40 2.1
GranCanaria 2014 1 9 9 50 0.3
GranCanaria 2014 1 9 10 0 0.2
GranCanaria 2014 1 9 11 10 0.8
GranCanaria 2014 1 9 11 20 0.1
GranCanaria 2014 1 9 12 0 0.4
GranCanaria 2014 1 9 12 10 0.5
GranCanaria 2014 1 9 12 30 0.2
GranCanaria 2014 1 9 12 40 0.4
GranCanaria 2014 1 9 12 50 0.1
GranCanaria 2014 1 14 1 10 0.1
GranCanaria 2014 1 14 1 20 0.1
GranCanaria 2014 1 15 20 0 0.4
GranCanaria 2014 1 15 20 10 0.1
GranCanaria 2014 1 15 20 40 0.3
GranCanaria 2014 1 15 20 50 0.1
GranCanaria 2014 1 15 21 0 0.1
GranCanaria 2014 1 15 21 10 0.1
GranCanaria 2014 1 15 22 20 0.3
GranCanaria 2014 1 15 23 20 0.2
GranCanaria 2014 1 15 23 30 0.2
GranCanaria 2014 1 16 0 40 0.4
GranCanaria 2014 1 16 1 10 0.1
GranCanaria 2014 1 16 2 30 0.2
GranCanaria 2014 1 16 7 10 0.1
GranCanaria 2014 1 16 9 10 1
GranCanaria 2014 1 16 9 20 0.6
GranCanaria 2014 1 16 14 10 0.2
GranCanaria 2014 1 16 17 40 0.1
GranCanaria 2014 1 16 18 10 0.1
GranCanaria 2014 1 16 19 40 0.1
GranCanaria 2014 1 16 20 50 1.2
GranCanaria 2014 1 16 21 0 0.6
GranCanaria 2014 1 17 1 40 0.1
GranCanaria 2014 1 17 1 50 0.1
GranCanaria 2014 1 17 4 30 1.8
GranCanaria 2014 1 17 4 40 0.1
GranCanaria 2014 1 17 4 50 0.1
GranCanaria 2014 1 17 6 40 0.1
GranCanaria 2014 1 17 8 10 0.1
GranCanaria 2014 1 17 20 20 0.3
GranCanaria 2014 1 18 5 0 0.2
GranCanaria 2014 1 18 6 20 0.1
GranCanaria 2014 1 19 7 0 0.1
GranCanaria 2014 1 19 7 10 0.4
GranCanaria 2014 1 19 7 20 0.2
GranCanaria 2014 1 19 7 30 0.2
GranCanaria 2014 1 19 8 40 0.2
GranCanaria 2014 1 19 11 20 0.3
GranCanaria 2014 1 19 20 10 0.1
GranCanaria 2014 1 19 21 30 0.2
GranCanaria 2014 1 19 23 20 0.3
GranCanaria 2014 1 19 23 50 0.4
GranCanaria 2014 1 20 1 20 0.1
GranCanaria 2014 1 20 13 50 0.2
GranCanaria 2014 1 21 2 20 0.2
GranCanaria 2014 1 21 2 40 0.2
GranCanaria 2014 1 21 3 10 0.1
GranCanaria 2014 1 21 3 20 0.5
GranCanaria 2014 1 21 3 40 0.5
GranCanaria 2014 1 21 3 50 0.6
GranCanaria 2014 1 21 4 0 0.1
GranCanaria 2014 1 21 7 0 0.1
GranCanaria 2014 1 22 4 20 0.1
GranCanaria 2014 1 22 4 30 0.3
GranCanaria 2014 1 22 12 30 0.1
GranCanaria 2014 1 22 18 50 0.1
GranCanaria 2014 1 22 19 0 0.2
GranCanaria 2014 1 22 21 40 0.1
GranCanaria 2014 1 23 19 50 0.1
GranCanaria 2014 1 23 22 40 0.1
GranCanaria 2014 1 25 18 0 0.1
GranCanaria 2014 1 25 18 20 0.2
GranCanaria 2014 1 29 8 20 0.1
GranCanaria 2014 1 29 8 50 0.1
GranCanaria 2014 1 29 9 10 0.2
GranCanaria 2014 1 29 14 0 0.2
GranCanaria 2014 1 29 14 10 0.1
GranCanaria 2014 1 29 14 40 0.5
GranCanaria 2014 2 1 5 20 0.1
GranCanaria 2014 2 1 5 50 0.1
GranCanaria 2014 2 1 6 20 0.1
GranCanaria 2014 2 1 7 40 0.1
GranCanaria 2014 2 1 8 0 0.1
GranCanaria 2014 2 1 9 0 0.1
GranCanaria 2014 2 1 9 30 0.1
GranCanaria 2014 2 1 11 50 0.1
GranCanaria 2014 2 1 15 10 0.1
GranCanaria 2014 2 1 15 20 0.1
GranCanaria 2014 2 1 18 30 0.1
GranCanaria 2014 2 2 4 30 0.1
GranCanaria 2014 2 2 4 40 0.2
GranCanaria 2014 2 2 5 50 0.1
GranCanaria 2014 2 2 6 20 0.1
GranCanaria 2014 2 2 7 40 0.1
GranCanaria 2014 2 2 12 20 0.1
GranCanaria 2014 2 2 12 30 0.1
GranCanaria 2014 2 2 12 50 0.2
GranCanaria 2014 2 2 15 0 0.1
GranCanaria 2014 2 2 15 10 0.8
GranCanaria 2014 2 2 15 20 0.8
GranCanaria 2014 2 2 15 30 0.6
GranCanaria 2014 2 2 15 40 0.6
GranCanaria 2014 2 2 15 50 0.3
GranCanaria 2014 2 3 0 30 0.4
GranCanaria 2014 2 3 0 40 0.2
GranCanaria 2014 2 3 0 50 0.5
GranCanaria 2014 2 3 2 30 0.1
GranCanaria 2014 2 3 22 30 0.5
GranCanaria 2014 2 3 23 20 0.1
GranCanaria 2014 2 7 0 0 0.3
GranCanaria 2014 2 7 0 10 0.1
GranCanaria 2014 2 7 0 20 0.2
GranCanaria 2014 2 7 1 0 0.3
GranCanaria 2014 2 7 1 10 0.3
GranCanaria 2014 2 15 2 30 0.1
GranCanaria 2014 2 15 2 40 0.3
GranCanaria 2014 2 15 2 50 0.1
GranCanaria 2014 2 15 3 40 0.4
GranCanaria 2014 2 15 3 50 0.5
GranCanaria 2014 2 15 4 20 0.1
GranCanaria 2014 2 15 4 30 0.2
GranCanaria 2014 2 15 5 10 0.2
GranCanaria 2014 2 15 5 20 0.2
GranCanaria 2014 2 15 5 30 0.4
GranCanaria 2014 2 15 5 40 0.6
GranCanaria 2014 2 15 5 50 0.2
GranCanaria 2014 2 15 6 0 0.1
GranCanaria 2014 2 15 7 0 0.1
GranCanaria 2014 2 15 7 10 0.1
GranCanaria 2014 2 15 7 20 1.5
GranCanaria 2014 2 15 7 30 0.8
GranCanaria 2014 2 15 7 40 0.6
GranCanaria 2014 2 15 7 50 0.5
GranCanaria 2014 2 15 8 0 0.7
GranCanaria 2014 2 15 8 10 0.9
GranCanaria 2014 2 15 8 20 0.7
GranCanaria 2014 2 15 8 30 0.5
GranCanaria 2014 2 15 8 40 0.2
GranCanaria 2014 2 15 8 50 0.1
GranCanaria 2014 2 15 9 0 1.4
GranCanaria 2014 2 15 9 10 0.3
GranCanaria 2014 2 15 9 20 0.4
GranCanaria 2014 2 15 9 30 0.2
GranCanaria 2014 2 15 9 40 0.1
GranCanaria 2014 2 15 9 50 0.2
GranCanaria 2014 2 15 10 0 0.3
GranCanaria 2014 2 15 10 10 0.5
GranCanaria 2014 2 15 10 20 0.1
GranCanaria 2014 2 15 10 40 0.1
GranCanaria 2014 2 15 11 40 0.4
GranCanaria 2014 2 15 12 10 0.3
GranCanaria 2014 2 15 12 50 0.1
