ID Ano Mes Dia Hora Min Prec
INIRIDA 2009 1 1 6 20 0.1
INIRIDA 2009 1 1 14 40 0.2
INIRIDA 2009 1 1 15 0 0.1
INIRIDA 2009 1 1 15 50 0.1
INIRIDA 2009 1 1 17 0 0.8
INIRIDA 2009 1 1 17 10 0.8
INIRIDA 2009 1 1 17 20 1
INIRIDA 2009 1 1 17 30 1.3
INIRIDA 2009 1 1 17 40 5.9
INIRIDA 2009 1 1 17 50 1.5
INIRIDA 2009 1 1 18 0 0.1
INIRIDA 2009 1 1 20 40 0.1
INIRIDA 2009 1 2 4 30 0.3
INIRIDA 2009 1 2 4 40 1.6
INIRIDA 2009 1 2 4 50 0.4
INIRIDA 2009 1 2 5 0 3.8
INIRIDA 2009 1 2 5 10 0.2
INIRIDA 2009 1 2 14 20 0.1
INIRIDA 2009 1 3 5 50 0.1
INIRIDA 2009 1 4 15 40 1.1
INIRIDA 2009 1 4 15 50 15.9
INIRIDA 2009 1 4 16 0 9.1
INIRIDA 2009 1 4 16 10 7.5
INIRIDA 2009 1 4 16 20 2
INIRIDA 2009 1 4 16 30 0.5
INIRIDA 2009 1 4 17 40 0.1
INIRIDA 2009 1 4 17 50 1.9
INIRIDA 2009 1 4 18 0 1.6
INIRIDA 2009 1 4 18 10 0.6
INIRIDA 2009 1 4 18 20 0.2
INIRIDA 2009 1 4 18 30 0.2
INIRIDA 2009 1 4 18 40 0.1
INIRIDA 2009 1 4 19 20 0.1
INIRIDA 2009 1 5 4 50 0.1
INIRIDA 2009 1 5 20 0 2.3
INIRIDA 2009 1 5 20 10 1.8
INIRIDA 2009 1 5 20 20 2.8
INIRIDA 2009 1 5 20 30 0.5
INIRIDA 2009 1 5 20 40 0.2
INIRIDA 2009 1 5 20 50 0.4
INIRIDA 2009 1 5 21 0 1
INIRIDA 2009 1 5 21 10 1.2
INIRIDA 2009 1 5 21 20 0.9
INIRIDA 2009 1 5 21 30 0.5
INIRIDA 2009 1 5 21 40 0.4
INIRIDA 2009 1 5 21 50 0.2
INIRIDA 2009 1 5 22 0 0.1
INIRIDA 2009 1 5 22 10 0.7
INIRIDA 2009 1 5 22 20 0.2
INIRIDA 2009 1 5 22 30 0.1
INIRIDA 2009 1 5 23 0 0.1
INIRIDA 2009 1 5 23 10 1.4
INIRIDA 2009 1 5 23 20 1.5
INIRIDA 2009 1 5 23 30 0.3
INIRIDA 2009 1 6 0 0 0.1
INIRIDA 2009 1 6 0 10 0.1
INIRIDA 2009 1 6 0 30 0.2
INIRIDA 2009 1 6 0 40 0.1
INIRIDA 2009 1 6 1 40 0.1
INIRIDA 2009 1 6 5 40 0.1
INIRIDA 2009 1 15 5 30 0.1
INIRIDA 2009 1 15 13 50 0.3
INIRIDA 2009 1 15 14 0 0.2
INIRIDA 2009 1 15 14 10 0.2
INIRIDA 2009 1 15 14 20 0.1
INIRIDA 2009 1 17 2 30 0.1
INIRIDA 2009 1 17 2 50 0.1
INIRIDA 2009 1 17 3 0 0.1
INIRIDA 2009 1 17 3 10 0.1
INIRIDA 2009 1 17 3 20 0.1
INIRIDA 2009 1 17 3 30 0.1
INIRIDA 2009 1 17 4 0 0.1
INIRIDA 2009 1 17 4 20 0.1
INIRIDA 2009 1 17 18 20 0.1
INIRIDA 2009 1 18 3 50 0.1
INIRIDA 2009 1 19 15 0 2.6
INIRIDA 2009 1 19 15 10 9.8
INIRIDA 2009 1 19 15 20 5.6
INIRIDA 2009 1 19 15 30 0.2
INIRIDA 2009 1 19 15 40 0.1
INIRIDA 2009 1 22 4 30 0.1
INIRIDA 2009 1 23 3 50 0.1
INIRIDA 2009 1 23 4 0 0.2
INIRIDA 2009 1 23 17 0 1.3
INIRIDA 2009 1 23 17 10 0.4
INIRIDA 2009 1 23 17 20 0.1
INIRIDA 2009 1 23 18 0 1
INIRIDA 2009 1 23 18 10 6.6
INIRIDA 2009 1 23 18 20 0.2
INIRIDA 2009 1 23 18 30 0.7
INIRIDA 2009 1 23 18 40 0.9
INIRIDA 2009 1 23 18 50 0.1
INIRIDA 2009 1 23 22 0 0.1
INIRIDA 2009 1 24 4 40 0.1
INIRIDA 2009 1 24 8 50 0.1
INIRIDA 2009 1 24 11 40 2.1
INIRIDA 2009 1 24 11 50 0.3
INIRIDA 2009 1 25 5 10 0.1
INIRIDA 2009 1 28 0 50 2
INIRIDA 2009 1 28 1 0 5.3
