ID Ano Mes Dia Hora Min Prec
MEDELLIN 2009 1 1 4 10 0.1
MEDELLIN 2009 1 1 4 20 0.5
MEDELLIN 2009 1 1 4 30 0.2
MEDELLIN 2009 1 1 6 10 0.1
MEDELLIN 2009 1 3 3 40 0.1
MEDELLIN 2009 1 3 6 30 0.2
MEDELLIN 2009 1 3 6 40 0.2
MEDELLIN 2009 1 3 6 50 0.1
MEDELLIN 2009 1 3 7 40 0.2
MEDELLIN 2009 1 3 9 30 0.1
MEDELLIN 2009 1 3 22 40 0.3
MEDELLIN 2009 1 3 22 50 0.2
MEDELLIN 2009 1 3 23 0 0.1
MEDELLIN 2009 1 3 23 50 0.1
MEDELLIN 2009 1 4 0 30 0.1
MEDELLIN 2009 1 4 1 30 0.1
MEDELLIN 2009 1 4 1 40 0.1
MEDELLIN 2009 1 4 2 0 0.3
MEDELLIN 2009 1 4 2 10 0.3
MEDELLIN 2009 1 4 2 30 0.1
MEDELLIN 2009 1 4 2 40 1
MEDELLIN 2009 1 4 2 50 0.2
MEDELLIN 2009 1 4 3 0 0.8
MEDELLIN 2009 1 4 3 10 0.5
MEDELLIN 2009 1 4 3 20 0.8
MEDELLIN 2009 1 4 3 30 0.3
MEDELLIN 2009 1 4 3 40 0.1
MEDELLIN 2009 1 4 3 50 0.2
MEDELLIN 2009 1 4 4 10 0.4
MEDELLIN 2009 1 4 4 20 0.1
MEDELLIN 2009 1 4 4 30 0.1
MEDELLIN 2009 1 4 4 40 0.1
MEDELLIN 2009 1 4 4 50 0.2
MEDELLIN 2009 1 4 5 10 0.1
MEDELLIN 2009 1 4 7 10 0.2
MEDELLIN 2009 1 4 7 20 0.1
MEDELLIN 2009 1 5 2 20 0.1
MEDELLIN 2009 1 5 2 50 0.1
MEDELLIN 2009 1 6 3 30 0.1
MEDELLIN 2009 1 6 16 0 0.7
MEDELLIN 2009 1 6 16 30 0.1
MEDELLIN 2009 1 6 17 10 4.6
MEDELLIN 2009 1 6 17 20 6.1
MEDELLIN 2009 1 6 18 40 0.1
MEDELLIN 2009 1 7 7 0 0.1
MEDELLIN 2009 1 10 3 10 0.1
MEDELLIN 2009 1 10 12 40 0.1
MEDELLIN 2009 1 12 5 10 0.1
MEDELLIN 2009 1 14 3 20 0.2
MEDELLIN 2009 1 14 3 30 0.1
MEDELLIN 2009 1 16 2 50 0.7
MEDELLIN 2009 1 16 3 0 0.8
MEDELLIN 2009 1 16 3 10 0.8
MEDELLIN 2009 1 16 3 20 0.7
MEDELLIN 2009 1 16 3 30 0.7
MEDELLIN 2009 1 16 3 40 0.5
MEDELLIN 2009 1 16 3 50 0.8
MEDELLIN 2009 1 16 4 0 0.5
MEDELLIN 2009 1 16 4 10 0.4
MEDELLIN 2009 1 16 4 20 0.5
MEDELLIN 2009 1 16 4 30 0.3
MEDELLIN 2009 1 16 4 50 0.1
MEDELLIN 2009 1 16 6 40 0.1
MEDELLIN 2009 1 16 8 40 0.7
MEDELLIN 2009 1 16 8 50 0.4
MEDELLIN 2009 1 16 10 10 0.1
MEDELLIN 2009 1 16 13 0 0.3
MEDELLIN 2009 1 16 13 10 0.1
MEDELLIN 2009 1 16 14 20 0.4
MEDELLIN 2009 1 16 14 30 0.4
MEDELLIN 2009 1 16 14 40 0.4
MEDELLIN 2009 1 16 16 10 0.1
MEDELLIN 2009 1 16 18 40 0.2
MEDELLIN 2009 1 16 21 10 0.1
MEDELLIN 2009 1 17 2 20 0.3
MEDELLIN 2009 1 17 3 0 0.1
MEDELLIN 2009 1 17 4 50 0.2
MEDELLIN 2009 1 17 5 0 0.1
MEDELLIN 2009 1 17 5 10 0.1
MEDELLIN 2009 1 17 8 20 0.1
MEDELLIN 2009 1 17 10 50 0.5
MEDELLIN 2009 1 17 11 0 4.1
