ID Ano Mes Dia Hora Min Prec
Zara 2009 10 8 1 30 1.6
Zara 2009 10 20 17 20 0.2
Zara 2009 10 20 18 0 0.2
Zara 2009 10 20 20 50 0.2
Zara 2009 10 20 21 40 0.2
Zara 2009 10 20 22 20 0.6
Zara 2009 10 20 22 30 0.2
Zara 2009 10 21 0 40 0.2
Zara 2009 10 21 0 50 0.4
Zara 2009 10 21 1 0 0.2
Zara 2009 10 21 1 10 0.2
Zara 2009 10 21 2 10 0.4
Zara 2009 10 21 2 20 0.2
Zara 2009 10 21 2 30 1
Zara 2009 10 21 2 40 0.6
Zara 2009 10 21 2 50 0.2
Zara 2009 10 21 3 0 0.2
Zara 2009 10 22 3 40 0.2
Zara 2009 10 22 4 0 0.4
Zara 2009 10 22 4 10 0.6
Zara 2009 10 22 4 20 0.6
Zara 2009 10 22 4 30 0.4
Zara 2009 10 22 4 40 0.2
Zara 2009 10 22 4 50 0.6
Zara 2009 10 22 5 40 0.4
Zara 2009 10 22 6 0 0.4
Zara 2009 10 22 6 10 0.6
Zara 2009 10 22 6 20 0.2
Zara 2009 10 22 7 10 0.2
Zara 2009 10 22 7 20 0.8
Zara 2009 10 22 10 30 0.2
Zara 2009 10 22 10 40 0.2
Zara 2009 10 22 11 0 0.2
Zara 2009 11 2 1 0 0.4
Zara 2009 11 2 1 10 0.8
Zara 2009 11 5 6 40 0.2
Zara 2009 11 5 7 50 0.2
Zara 2009 11 7 1 40 0.2
Zara 2009 11 7 11 10 0.2
Zara 2009 11 7 11 20 0.6
Zara 2009 11 7 11 40 0.2
Zara 2009 11 7 11 50 0.2
Zara 2009 11 8 10 0 0.2
Zara 2009 11 8 10 10 0.2
Zara 2009 11 8 10 20 0.2
Zara 2009 11 8 11 50 0.2
Zara 2009 11 8 12 0 0.4
Zara 2009 11 8 12 10 0.2
Zara 2009 11 8 12 20 0.6
Zara 2009 11 8 12 30 0.4
Zara 2009 11 8 12 40 0.2
Zara 2009 11 8 13 0 0.2
Zara 2009 11 8 13 10 0.2
Zara 2009 11 8 13 20 0.2
Zara 2009 11 8 13 30 0.6
Zara 2009 11 8 13 40 0.2
Zara 2009 11 8 14 0 0.2
Zara 2009 11 8 14 20 0.2
Zara 2009 11 8 15 30 0.4
Zara 2009 11 8 20 50 0.2
Zara 2009 11 8 21 20 0.2
Zara 2009 11 9 0 20 0.2
Zara 2009 11 9 1 10 0.2
Zara 2009 11 9 1 50 0.4
Zara 2009 11 9 2 0 0.2
Zara 2009 11 22 1 40 0.2
Zara 2009 11 22 1 50 0.2
Zara 2009 11 22 2 10 0.2
Zara 2009 11 22 2 30 0.2
Zara 2009 11 29 10 0 0.2
Zara 2009 12 3 5 50 0.2
Zara 2009 12 17 0 0 0.2
Zara 2009 12 17 0 20 0.2
Zara 2009 12 17 0 30 0.2
Zara 2009 12 17 0 50 0.2
Zara 2009 12 17 1 40 0.2
Zara 2009 12 17 5 0 0.2
Zara 2009 12 17 7 0 0.2
Zara 2009 12 17 7 30 0.2
Zara 2009 12 17 8 0 0.4
Zara 2009 12 17 8 20 0.2
Zara 2009 12 29 10 50 0.2
Zara 2009 12 31 15 30 0.2
Zara 2010 1 13 21 40 0.2
Zara 2010 1 14 10 10 0.2
Zara 2010 1 14 10 40 0.2
Zara 2010 2 22 11 40 0.2
Zara 2010 2 25 14 50 0.2
Zara 2010 3 24 15 20 0.4
Zara 2010 3 24 15 40 0.2
Zara 2010 3 24 15 50 0.6
Zara 2010 3 24 16 0 0.4
Zara 2010 3 24 21 50 0.6
Zara 2010 3 24 22 0 1.8
Zara 2010 3 24 23 30 4.6
Zara 2010 3 24 23 40 1.2
Zara 2010 3 24 23 50 0.2
Zara 2010 3 25 20 40 0.2
Zara 2010 3 30 0 40 0.2
Zara 2010 4 3 20 40 0.2
Zara 2010 4 7 9 40 0.2
Zara 2010 4 7 9 50 0.2
Zara 2010 4 7 10 0 0.2
Zara 2010 4 18 6 20 0.4
Zara 2010 4 22 5 30 0.2
Zara 2010 4 22 5 40 0.2
Zara 2010 4 22 5 50 0.4
Zara 2010 4 22 6 10 0.2
Zara 2010 4 22 6 30 0.2
Zara 2010 4 22 6 50 0.4
Zara 2010 4 30 18 0 1.4
Zara 2010 4 30 18 10 2.2
Zara 2010 4 30 22 20 1.8
Zara 2010 4 30 22 30 0.6
Zara 2010 4 30 22 40 0.4
Zara 2010 4 30 22 50 0.2
Zara 2010 5 1 3 20 2.4
Zara 2010 5 1 3 30 0.8
Zara 2010 5 7 19 40 0.2
Zara 2010 5 9 0 0 0.2
Zara 2010 5 9 0 10 0.2
Zara 2010 5 9 0 30 0.4
Zara 2010 5 9 2 50 0.2
Zara 2010 5 9 3 50 0.2
Zara 2010 5 9 4 20 0.2
Zara 2010 5 9 14 50 0.4
Zara 2010 5 9 15 0 0.2
Zara 2010 5 10 14 20 1
Zara 2010 5 11 21 0 1
Zara 2010 5 11 21 10 1
Zara 2010 5 11 21 20 1
Zara 2010 5 11 23 10 0.6
Zara 2010 6 9 7 30 0.2
Zara 2010 6 9 13 50 0.2
Zara 2010 6 9 14 0 0.2
Zara 2010 6 9 14 10 0.2
Zara 2010 6 9 14 20 0.4
Zara 2010 6 9 14 30 0.4
Zara 2010 6 9 14 40 0.2
Zara 2010 6 9 15 20 0.2
Zara 2010 6 9 19 0 0.2
Zara 2010 6 9 19 40 0.2
Zara 2010 6 9 20 10 0.4
Zara 2010 6 9 20 20 0.2
Zara 2010 6 9 20 30 0.2
Zara 2010 6 9 20 40 0.2
Zara 2010 6 9 20 50 0.2
Zara 2010 6 9 21 0 0.2
Zara 2010 6 9 21 10 0.4
Zara 2010 6 9 21 20 0.4
Zara 2010 6 9 21 30 0.4
Zara 2010 6 9 21 40 0.4
Zara 2010 6 9 21 50 0.2
Zara 2010 6 9 22 10 0.2
Zara 2010 6 9 22 20 0.2
Zara 2010 6 12 10 10 0.2
Zara 2010 6 12 11 20 0.2
Zara 2010 6 12 11 40 0.2
Zara 2010 6 12 11 50 0.6
Zara 2010 6 12 12 0 0.8
Zara 2010 6 12 12 10 0.2
Zara 2010 6 12 18 40 0.2
Zara 2010 6 12 18 50 0.4
Zara 2010 6 16 14 20 0.2
Zara 2010 6 16 14 30 0.4
Zara 2010 6 16 14 40 0.4
Zara 2010 6 16 14 50 0.2
Zara 2010 6 16 15 0 0.6
Zara 2010 6 16 15 10 0.6
Zara 2010 6 16 15 20 0.4
Zara 2010 6 16 15 30 2
Zara 2010 6 16 15 40 0.2
Zara 2010 6 26 18 10 5.8
Zara 2010 6 26 18 20 6.2
Zara 2010 6 26 18 30 0.6
Zara 2010 6 26 19 10 0.2
Zara 2010 6 26 19 30 0.4
Zara 2010 7 2 8 50 0.2
Zara 2010 7 3 20 50 2.6
Zara 2010 7 3 21 0 0.2
Zara 2010 7 11 19 50 2.2
Zara 2010 7 11 20 0 4.6
Zara 2010 7 11 20 10 6.6
Zara 2010 7 11 20 20 0.4
Zara 2010 7 11 20 40 0.2
Zara 2010 7 11 20 50 0.2
Zara 2010 7 11 21 0 2
Zara 2010 7 11 21 10 0.2
Zara 2010 8 1 15 40 0.6
Zara 2010 8 1 15 50 1.2
Zara 2010 8 19 17 10 0.2
Zara 2010 8 19 17 20 0.6
Zara 2010 8 19 17 30 0.4
Zara 2010 8 19 17 40 0.2
Zara 2010 8 19 17 50 0.2
Zara 2010 8 19 18 0 0.8
Zara 2010 8 19 18 10 1
Zara 2010 8 19 18 20 0.4
Zara 2010 8 19 18 30 0.2
Zara 2010 9 1 17 10 0.6
Zara 2010 9 1 17 20 0.4
Zara 2010 9 1 17 30 0.4
Zara 2010 9 2 8 10 0.2
Zara 2010 9 2 14 20 0.8
Zara 2010 9 2 14 30 9.6
Zara 2010 9 2 14 40 6.8
Zara 2010 9 2 14 50 1.8
Zara 2010 9 2 15 0 0.6
Zara 2010 9 2 15 20 0.2
Zara 2010 9 2 15 30 0.2
Zara 2010 9 16 18 50 0.2
Zara 2010 9 16 20 30 0.2
Zara 2010 9 16 20 40 0.6
Zara 2010 9 17 6 40 0.2
Zara 2010 9 17 7 0 0.2
Zara 2010 9 17 7 10 0.2
Zara 2010 9 17 13 0 0.8
Zara 2010 9 17 13 10 0.8
Zara 2010 9 17 13 20 1.2
Zara 2010 9 17 13 30 2.6
Zara 2010 9 17 13 40 0.4
Zara 2010 9 17 13 50 0.2
Zara 2010 9 17 14 30 0.2
Zara 2010 9 17 15 20 0.2
Zara 2010 9 23 15 50 0.4
Zara 2010 9 23 16 0 4.4
Zara 2010 9 23 16 10 0.6
Zara 2010 9 24 0 20 1
Zara 2010 9 24 0 30 0.4
Zara 2010 9 24 0 40 1
Zara 2010 9 24 0 50 0.4
Zara 2010 10 1 12 40 1
Zara 2010 10 9 15 10 0.2
Zara 2010 10 9 17 0 2.6
Zara 2010 10 9 17 10 5.8
Zara 2010 10 9 17 20 1
Zara 2010 10 9 17 30 0.6
Zara 2010 10 9 18 10 0.2
Zara 2010 10 9 18 20 0.2
Zara 2010 10 9 18 30 0.2
Zara 2010 10 9 18 40 0.4
Zara 2010 10 9 18 50 0.2
Zara 2010 10 9 19 10 0.2
Zara 2010 10 9 19 20 0.2
Zara 2010 10 9 19 30 0.2
Zara 2010 10 9 19 40 0.2
Zara 2010 10 9 20 0 0.2
Zara 2010 10 9 20 20 0.2
Zara 2010 10 9 20 30 0.2
Zara 2010 10 9 20 40 0.4
Zara 2010 10 9 20 50 0.4
Zara 2010 10 9 21 0 0.4
Zara 2010 10 9 21 10 0.2
Zara 2010 10 9 21 20 0.2
Zara 2010 10 9 22 10 0.2
Zara 2010 10 11 1 20 0.2
Zara 2010 10 11 1 50 0.2
Zara 2010 10 11 2 10 0.2
Zara 2010 10 12 0 50 2
Zara 2010 10 12 1 0 1
Zara 2010 10 12 3 0 0.2
Zara 2010 10 12 3 30 0.2
Zara 2010 10 12 3 50 0.2
Zara 2010 10 12 5 10 0.2
Zara 2010 10 12 5 20 0.2
Zara 2010 10 12 5 40 0.2
Zara 2010 10 12 5 50 0.4
Zara 2010 10 12 6 0 0.2
Zara 2010 10 12 6 10 0.2
Zara 2010 10 12 6 30 0.2
Zara 2010 10 12 6 40 0.4
Zara 2010 10 12 6 50 0.2
Zara 2010 10 12 7 0 0.4
Zara 2010 10 12 7 10 0.2
Zara 2010 10 12 7 20 0.4
Zara 2010 10 12 7 30 0.2
Zara 2010 10 12 7 40 0.4
Zara 2010 10 12 7 50 0.2
Zara 2010 10 12 8 0 0.2
Zara 2010 10 12 8 10 0.4
Zara 2010 10 12 8 20 0.2
Zara 2010 10 12 8 30 0.2
