ID Ano Mes Dia Hora Min Prec
PalmaMallorca 2009 10 10 11 50 0.2
PalmaMallorca 2009 10 10 12 0 0.1
PalmaMallorca 2009 10 21 6 50 0.4
PalmaMallorca 2009 10 21 7 0 0.2
PalmaMallorca 2009 10 21 7 10 0.1
PalmaMallorca 2009 10 21 7 20 0.1
PalmaMallorca 2009 10 21 7 50 0.1
PalmaMallorca 2009 10 21 8 0 0.2
PalmaMallorca 2009 10 21 8 20 0.1
PalmaMallorca 2009 10 21 8 40 0.2
PalmaMallorca 2009 10 21 8 50 0.2
PalmaMallorca 2009 10 21 9 0 0.1
PalmaMallorca 2009 10 21 9 10 0.1
PalmaMallorca 2009 10 21 9 20 0.2
PalmaMallorca 2009 10 21 9 30 3.6
PalmaMallorca 2009 10 21 9 40 1.2
PalmaMallorca 2009 10 21 9 50 0.2
PalmaMallorca 2009 10 21 10 0 0.1
PalmaMallorca 2009 10 21 10 10 0.3
PalmaMallorca 2009 10 21 11 10 0.2
PalmaMallorca 2009 10 21 11 20 1.7
PalmaMallorca 2009 10 21 11 30 2.8
PalmaMallorca 2009 10 21 11 40 1.8
PalmaMallorca 2009 10 21 11 50 0.3
PalmaMallorca 2009 10 21 12 0 0.5
PalmaMallorca 2009 10 21 12 10 0.4
PalmaMallorca 2009 10 22 8 0 0.1
PalmaMallorca 2009 10 22 8 10 0.6
PalmaMallorca 2009 10 22 8 20 0.1
PalmaMallorca 2009 10 22 8 30 1.2
PalmaMallorca 2009 10 22 8 40 0.6
PalmaMallorca 2009 10 22 8 50 0.1
PalmaMallorca 2009 10 22 9 0 0.1
PalmaMallorca 2009 10 22 9 10 0.1
PalmaMallorca 2009 10 22 9 30 0.2
PalmaMallorca 2009 10 22 9 40 1.5
PalmaMallorca 2009 10 22 9 50 0.2
PalmaMallorca 2009 10 22 10 0 0.3
PalmaMallorca 2009 10 22 10 10 0.3
PalmaMallorca 2009 10 22 10 20 0.1
PalmaMallorca 2009 10 22 10 30 0.5
PalmaMallorca 2009 10 22 15 40 0.1
PalmaMallorca 2009 10 22 15 50 0.1
