ID Ano Mes Dia Hora Min Prec
Valladolid 2009 10 6 4 50 0.1
Valladolid 2009 10 6 5 10 0.1
Valladolid 2009 10 7 9 50 0.1
Valladolid 2009 10 7 10 0 0.5
Valladolid 2009 10 7 10 20 0.4
Valladolid 2009 10 7 10 30 1.6
Valladolid 2009 10 7 10 40 1
Valladolid 2009 10 7 10 50 0.5
Valladolid 2009 10 8 3 50 0.2
Valladolid 2009 10 8 4 0 0.2
Valladolid 2009 10 8 4 20 0.2
Valladolid 2009 10 8 4 30 0.1
Valladolid 2009 10 8 5 50 0.1
Valladolid 2009 10 8 6 0 0.5
Valladolid 2009 10 20 6 10 0.2
Valladolid 2009 10 20 6 20 0.2
Valladolid 2009 10 20 6 40 0.2
Valladolid 2009 10 20 6 50 0.2
Valladolid 2009 10 20 7 0 0.2
Valladolid 2009 10 20 7 10 0.2
Valladolid 2009 10 20 7 20 0.2
Valladolid 2009 10 20 7 30 0.4
Valladolid 2009 10 20 7 40 0.6
Valladolid 2009 10 20 7 50 0.2
Valladolid 2009 10 20 8 0 0.6
Valladolid 2009 10 20 8 10 0.4
Valladolid 2009 10 20 8 20 0.8
Valladolid 2009 10 20 8 30 0.8
Valladolid 2009 10 20 8 40 0.8
Valladolid 2009 10 20 8 50 0.2
Valladolid 2009 10 20 9 0 0.6
Valladolid 2009 10 20 9 10 0.6
Valladolid 2009 10 20 9 20 0.4
Valladolid 2009 10 20 10 40 0.2
Valladolid 2009 10 20 11 0 0.2
Valladolid 2009 10 20 11 10 0.4
Valladolid 2009 10 20 11 20 0.4
Valladolid 2009 10 20 11 30 0.4
Valladolid 2009 10 20 11 40 0.4
Valladolid 2009 10 20 11 50 0.2
Valladolid 2009 10 20 12 0 0.2
Valladolid 2009 10 20 12 20 0.4
Valladolid 2009 10 20 12 30 0.2
Valladolid 2009 10 20 13 20 0.2
Valladolid 2009 10 20 13 50 0.2
Valladolid 2009 10 20 14 0 0.2
Valladolid 2009 10 20 14 30 0.4
Valladolid 2009 10 20 14 50 0.4
Valladolid 2009 10 20 15 0 0.4
Valladolid 2009 10 20 15 20 1.2
Valladolid 2009 10 20 15 30 0.6
Valladolid 2009 10 20 16 0 0.6
Valladolid 2009 10 20 16 10 1.2
Valladolid 2009 10 20 16 20 1.8
Valladolid 2009 10 20 16 30 0.8
Valladolid 2009 10 20 16 40 0.6
Valladolid 2009 10 20 19 0 0.6
Valladolid 2009 10 21 11 30 0.4
Valladolid 2009 10 21 11 40 0.8
Valladolid 2009 10 21 14 20 0.6
Valladolid 2009 10 21 14 50 0.4
Valladolid 2009 10 21 15 40 0.2
Valladolid 2009 10 21 16 20 0.8
Valladolid 2009 10 21 17 0 0.2
Valladolid 2009 10 21 20 50 0.2
Valladolid 2009 10 21 21 10 0.2
Valladolid 2009 10 21 21 20 0.2
Valladolid 2009 10 21 21 40 0.2
Valladolid 2009 10 21 23 10 0.6
Valladolid 2009 10 21 23 20 0.4
Valladolid 2009 10 21 23 30 0.4
Valladolid 2009 10 21 23 40 0.4
Valladolid 2009 10 21 23 50 0.2
Valladolid 2009 10 22 0 0 0.4
Valladolid 2009 10 22 0 20 0.2
Valladolid 2009 10 22 0 30 0.4
Valladolid 2009 10 22 0 40 0.4
Valladolid 2009 10 22 0 50 0.4
Valladolid 2009 10 22 1 0 0.4
Valladolid 2009 10 22 1 10 1
Valladolid 2009 10 22 1 20 1.2
Valladolid 2009 10 22 1 30 1.8
Valladolid 2009 10 22 1 40 1
Valladolid 2009 10 22 1 50 0.8
Valladolid 2009 10 22 2 0 1.6
Valladolid 2009 10 22 2 10 1.2
Valladolid 2009 10 22 2 20 0.2
Valladolid 2009 10 22 2 30 0.2
Valladolid 2009 10 22 2 40 0.4
Valladolid 2009 10 22 2 50 1.4
Valladolid 2009 10 22 3 0 1.4
Valladolid 2009 10 22 3 10 1
Valladolid 2009 10 22 3 20 0.4
Valladolid 2009 10 22 3 30 1.2
Valladolid 2009 10 22 3 40 1.8
Valladolid 2009 10 22 3 50 7.4
Valladolid 2009 10 22 4 0 4.4
Valladolid 2009 10 22 4 10 1
Valladolid 2009 10 22 4 20 0.6
Valladolid 2009 10 22 5 0 0.2
Valladolid 2009 11 1 19 0 0.2
Valladolid 2009 11 1 19 10 0.4
Valladolid 2009 11 1 19 20 0.4
Valladolid 2009 11 1 20 40 0.2
Valladolid 2009 11 1 20 50 0.4
Valladolid 2009 11 7 10 50 0.2
Valladolid 2009 11 7 11 0 0.2
Valladolid 2009 11 7 11 20 0.4
Valladolid 2009 11 7 11 30 1
Valladolid 2009 11 7 11 40 0.2
Valladolid 2009 11 7 12 20 0.2
Valladolid 2009 11 9 11 10 0.4
Valladolid 2009 11 14 4 50 0.2
Valladolid 2009 11 14 5 10 0.2
Valladolid 2009 11 14 5 20 0.2
Valladolid 2009 11 14 5 30 0.2
Valladolid 2009 11 15 1 30 0.2
Valladolid 2009 11 15 2 40 0.2
Valladolid 2009 11 15 3 30 0.2
Valladolid 2009 11 15 3 50 0.2
Valladolid 2009 11 15 4 0 0.4
Valladolid 2009 11 15 4 10 0.6
Valladolid 2009 11 15 4 20 0.8
Valladolid 2009 11 15 4 30 0.4
Valladolid 2009 11 15 4 40 0.2
Valladolid 2009 11 15 5 0 0.2
